Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Symba Center,none identified,Ambulatory Care Settings,Community clinic or free clinic,victorville,#N/A,92395
"Synergy Orthopedic Specialist, Inc.",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92121
Szmidt-A professional medical corp,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92130
"T.H.E.Clinic, Inc",none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,9062
Tahoe Forest Hospital District,none identified,Acute Care Settings,General acute care hospital,Truckee,#N/A,96161
Talat Saifee MD Inc,none identified,Ambulatory Care Settings,Physician practice,Burbank,#N/A,91501
"Talbert Medical Group, P.C.",none identified,Ambulatory Care Settings,Medical group,El Segundo,#N/A,90245
"Tarzana Treatment Centers, Inc.","Tarzana Treatment Centers, Inc.",Ambulatory Care Settings,Health center program look-alikes,Tarzana,#N/A,91356
"Tarzana Treatment Centers, Inc.","Tarzana Treatment Centers, Inc.",Community-Based Organizations,Other community-based service provider,Tarzana,#N/A,91356
TCY Pharmacy Inc,none identified,Pharmacy,not selected,National City,#N/A,91950
Teen Kitchen Project,none identified,Community-Based Organizations,Other community-based service provider,Soquel,#N/A,95073
Tehama County Department of Education,none identified,Counties,Other county service,Red Bluff,#N/A,96080
"Tejaskumar Naik, A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,Corona,#N/A,92881
Telecare Corporation,none identified,Community-Based Organizations,Other community-based service provider,Alameda,#N/A,94501
TeleMed2U,none identified,not selected,not selected,Roseville,#N/A,95661
"TeleMed2U, Inc.",none identified,Acute Care Settings,Other acute care setting,Roseville,#N/A,95661
Temecula Valley Hospital,none identified,Acute Care Settings,General acute care hospital,Temecula,#N/A,92592
Tenth Street Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Santa Monica,#N/A,90402
TERRACE VIEW CARE CENTER,none identified,Ambulatory Care Settings,Other ambulatory care settings,Fullerton,#N/A,92835
Terrisa Ha M.D,none identified,Ambulatory Care Settings,Physician practice,La Palma,#N/A,90623-1732
Tessie Cleveland Community Services Corp,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90001
TFHD,none identified,Acute Care Settings,General acute care hospital,Truckee,#N/A,96161
The Achievable Foundation,none identified,Community-Based Organizations,Other community-based service provider,Culver City,#N/A,90230
The Allergy and Asthma Clinic Inc,Peninsula Allergy Associates,Ambulatory Care Settings,Physician practice,San Mateo,#N/A,94401
THE CALIFORNIAN,none identified,Subacute Care Facility,Skilled nursing facility,Santa Barbara,#N/A,93105
The Care Center on Hazeltine,none identified,Subacute Care Facility,Skilled nursing facility,Van Nuys,#N/A,91405
The Children's Clinic Serving Children and Their Families,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Long Beach,#N/A,90806
The Childrens Doctor,none identified,Acute Care Settings,Other acute care setting,Riverside,#N/A,92503
THE Clinic Inc,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90062
The Coalition of Orange County Community Health Centers - Orange County Partners in Health-Health Information Exchange,none identified,Community-Based Organizations,Other community-based service provider,Santa Ana,#N/A,92701
The Dream Center,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90026
The Ellison John Transitional Care Center,none identified,Subacute Care Facility,Skilled nursing facility,Lancaster,#N/A,93534
The Fresno Center,none identified,Community-Based Organizations,Other community-based service provider,Fresno,#N/A,93727
The Gathering Inn,none identified,Community-Based Organizations,Other community-based service provider,Rocklin,#N/A,95677
The Grove Post Acute,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),Garden Grove,#N/A,92843
The Los Angeles Free Clinic,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90048
The Neighborhood Medical Clinic of Riverside Inc,none identified,Ambulatory Care Settings,not selected,Riveside,#N/A,92517
The Open Door Network,none identified,Community-Based Organizations,Other community-based service provider,Bakersfield,#N/A,93301
The Orchards Post Acute,none identified,Community-Based Organizations,Other community-based service provider,Bakersfield,#N/A,93301
The People Concern,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Los Angeles,#N/A,90018
The Permanente Medical Group,none identified,Ambulatory Care Settings,Medical group,Oakland,#N/A,94612
The Redwoods - A Community of Seniors,none identified,Subacute Care Facility,Skilled nursing facility,Mill Valley,#N/A,94941
The Ridge Post Acute,none identified,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95127
The ROADS Foundation,none identified,Community-Based Organizations,Other community-based service provider,Compton,#N/A,90221
The Shores Post Acute,none identified,Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92123
The Springs Health and Rehab,none identified,Intermediaries,Other intermediary,Murrieta,#N/A,92563
"The Stonebrook Convalescent Center, Inc",none identified,Subacute Care Facility,Skilled nursing facility,Concord,#N/A,94521
The Suzuki Clinic,none identified,Ambulatory Care Settings,Physician practice,Torrance,#N/A,90501
The Village Family Doctor,none identified,Ambulatory Care Settings,Physician practice,Arroyo Grande,#N/A,93420
"The Village Family Services, Inc.",none identified,Community-Based Organizations,Other community-based service provider,North Hollywood,#N/A,91606
THE VINEYARDS HEALTHCARE CENTER,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Livermore,#N/A,94550
The WeCare Group,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Scotia,#N/A,95565
The Wellness Center,none identified,Intermediaries,Other intermediary,Freedom,#N/A,95019
Theodore Gerard A Caspe MD A Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Rancho Cucamonga,#N/A,91739
Therapeutic Play Foundation,none identified,Community-Based Organizations,Other community-based service provider,Pasadena,#N/A,91103
Thomas Badin MD,none identified,Ambulatory Care Settings,not selected,Santa Ana,#N/A,92705
Thousand Oaks Pediatrics,none identified,Ambulatory Care Settings,Physician practice,SIMI VALLEY,#N/A,91320
Thousand Oaks Post Acute,none identified,Subacute Care Facility,Skilled nursing facility,Thousand Oaks,#N/A,91360
"Tibbetts Medical Group, Inc.",none identified,Ambulatory Care Settings,Physician practice,Riverside,#N/A,92503
"Tiburcio Vasquez Health Center, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Hayward,#N/A,94541-3911
"TIL, LP Bellagio in the Desert",none identified,Subacute Care Facility,Skilled nursing facility,Studio City,#N/A,91604
"Timothy J Perrin, MD",none identified,Ambulatory Care Settings,Physician practice,Arroyo Grande,#N/A,93420
"Timothy J. Killeen, M.D., Inc.",none identified,Ambulatory Care Settings,Physician practice,Temecula,#N/A,92591
"Timothy M. Fishback, M.D.",none identified,Ambulatory Care Settings,Physician practice,Palm Springs,#N/A,92262
"TLCS, Inc. dba Hope Cooperative",none identified,Community-Based Organizations,Continuum of Care organization (CoC),Sacramento,#N/A,95825
To Help Everyone Health & Wellness Centers,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90062
Tobin C Gallawa DPM,none identified,Ambulatory Care Settings,Physician practice,Sacramento,#N/A,95825
"Toluca Congregate Living, Inc.",none identified,Subacute Care Facility,Other long term care facility,Valley Glen,#N/A,91401
TOMMY T KUO MD,none identified,Ambulatory Care Settings,Physician practice,San Mateo,#N/A,94402
Torrance Memorial,Torrance Memorial Physician Network,Ambulatory Care Settings,Medical group,Torrance,#N/A,90505
"Total Longterm Care, Inc",InnovAge California PACE- Sacramento,Plans,not selected,Sacramento,#N/A,95834
"Total Longterm Care, Inc","Total Longterm Care, Inc (DBA-Innovage California PACE -Inland Empire)",Plans,not selected,San Bernardino,#N/A,92408
TotalCare Walk-In Clinic,none identified,Ambulatory Care Settings,Physician practice,Chino,#N/A,91710
TOWN AND COUNTRY MANOR,none identified,Subacute Care Facility,Skilled nursing facility,Santa Ana,#N/A,92706
"Tran Medical, Inc",none identified,Ambulatory Care Settings,not selected,Torrance,#N/A,90510
Transcendence Psychological Services,none identified,Ambulatory Care Settings,Mental health clinic,Fresno,#N/A,93710
Tri counties Community Action Partnership,none identified,Community-Based Organizations,Other community-based service provider,Willows,#N/A,95988
Tri-City Physical Therapy,none identified,Ambulatory Care Settings,Other ambulatory care settings,Fremont,#N/A,94555
Trinity County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",weaverville,#N/A,96093
TRINITY HOSPITAL,TRINITY HOSPITAL,Pharmacy,not selected,weaverville,#N/A,96093
TRINITY HOSPITAL,TRINITY HOSPITAL LABORATORY,Ancillary Care,Clinical laboratory,weaverville,#N/A,96093
Tripty M Gandhi MD,none identified,Ambulatory Care Settings,Physician practice,Santa Clara,#N/A,95050
Tri-State Community Healthcare Center,none identified,Community-Based Organizations,Other community-based service provider,Needles,#N/A,92363
Tri-State Community Healthcare Centre,none identified,Community-Based Organizations,Other community-based service provider,Glendale,#N/A,91205
TriValley Orthopedic Specialists,none identified,Ambulatory Care Settings,Physician practice,Pleasanton,#N/A,94588
Troy H Niguidula MD INC,none identified,Ambulatory Care Settings,Physician practice,National City,#N/A,91950
Tulare County Health and Human Services,none identified,Counties,Department of public health,Visalia,#N/A,93277
TUNG HUU NGUYEN MD INC,none identified,Ambulatory Care Settings,Physician practice,Westminster,#N/A,92683
Turning Point Community Programs,none identified,Community-Based Organizations,Other community-based service provider,Rancho Cordova,#N/A,95670
TUSHAR  R MODI MD Inc,none identified,Community-Based Organizations,Other community-based service provider,Modesto,#N/A,95350
Twilight Haven,none identified,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93727
UC Davis Health,none identified,Acute Care Settings,General acute care hospital,Sacramento,#N/A,95817
UCLA Health,none identified,Acute Care Settings,General acute care hospital,Los Angeles,#N/A,90077
UCR Health,none identified,Ambulatory Care Settings,Faculty practice,Riverside,#N/A,92521
"UHS of Rancho Springs, Inc",none identified,Acute Care Settings,General acute care hospital,Murrieta,#N/A,92562
Ukiah Valley Fire Authority,none identified,Emergency Medical Service Providers,not selected,Ukiah,#N/A,95482
Uni Health Care Inc,none identified,Community-Based Organizations,Other community-based service provider,Stevenson Ranch,#N/A,91381
UNICARE COMMUNITY HEALTH CENTER,none identified,Ancillary Care,Other ancillary care provider,Ontario,#N/A,91762
"UNICARE COMMUNITY HEALTH CENTER, INC.",none identified,Community-Based Organizations,Other community-based service provider,Ontario,#N/A,91762
Unique Healthcare For Women,none identified,Ancillary Care,Other ancillary care provider,Chula Vista,#N/A,91914
Unite American Indian Involvement,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90026
United Care Medical Group,none identified,Ambulatory Care Settings,Independent practice associations,Orange,#N/A,92868
United Health Systems Inc,none identified,Community-Based Organizations,Other community-based service provider,Woodland,#N/A,95695
"United Indian Health Services, Inc.",none identified,Ambulatory Care Settings,Health center program look-alikes,Arcata,#N/A,95521
United Medical Doctors,none identified,Ambulatory Care Settings,Physician practice,Murrieta,#N/A,92563
"United Physicians International, Inc.",none identified,Ambulatory Care Settings,Independent practice associations,Cypress,#N/A,90630-0063
United Physicians Network,none identified,Plans,Other plan,Fresno,#N/A,93711
United Way Bay Area,none identified,Community-Based Organizations,Other community-based service provider,San Francisco,#N/A,94108
United Way Fresno and Madera Counties,none identified,Community-Based Organizations,not selected,Fresno,#N/A,93727
United Way Monterey County,none identified,Community-Based Organizations,Other community-based service provider,Salinas,#N/A,93901
United Way of Central Eastern California,none identified,Community-Based Organizations,Other community-based service provider,Bakersfield,#N/A,93301
United Way of Merced County,none identified,Community-Based Organizations,Other community-based service provider,Merced,#N/A,95340
United Way of Northern California,none identified,Community-Based Organizations,Other community-based service provider,"Redding, CA",#N/A,96002
United Way of San Joaquin County,none identified,Community-Based Organizations,Other community-based service provider,Stockton,#N/A,95203
United Way of Santa Cruz County,none identified,Community-Based Organizations,Other community-based service provider,Capitola,#N/A,95010
United Way of the Wine Country,none identified,Community-Based Organizations,Other community-based service provider,Santa Rosa,#N/A,95407
United Ways of California,none identified,Community-Based Organizations,Other community-based service provider,South Pasadena,#N/A,91030
UnitedHealthcare,UHC of California,Plans,Health care service plans and disability insurer,Concord,#N/A,94520
UnitedHealthcare,UnitedHealthcare Benefits Plan of California,Plans,Health care service plans and disability insurer,Concord,#N/A,94520
Universal Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90021
